14512012,14512059,14512197,14512297,14512492,14513011,14513060,14513071,14513115,14513215,14513260,14513271,14513310,14513370,14513424,14614012,14614025,14614029,14614057,14614062,14614063,14614067,14614093,14614112,14614127,14614134,14614135,14614141,14614160,14614169,14614185,14614187,14614215,14614227,14614238,14614262,14614270,14614273,14614301,14614319,14614334,14614358,14614383,14614398,14614413,14614424,14614449,14614451,14614478,14614491
28954920,158279390,197636570,134493260,160463720,22169780,4338210,10112930,4677680,8973110,10387710,21163710,2743330,14321120,10652310,839110,802800,1105780,709090,1341350,1361760,864260,1611660,364020,1485770,202780,1330790,1161890,1068670,233090,622730,918000,1575590,787610,1166150,1634070,578520,986750,719170,375070,1465180,1050090,1460380,657170,511840,1371410,1663470,1199490,1069710,847430
65201250,236548500,218550950,142304470,165720220,22169780,4338210,10112930,46642300,8973110,15143450,36731120,2743330,37559550,10652310,839110,50182340,16814790,58357870,25806450,5736270,60218800,1611660,364020,1485770,53078980,1330790,1161890,32287670,5743560,622730,22391310,43770660,76898450,38175410,7392620,79859270,81847080,5477360,8932090,1465180,46673310,7153310,657170,511840,1371410,12218390,36973920,31142640,847430
65201250,244791240,293615220,169874520,165720220,84685660,4338210,66970400,99571330,8973110,15143450,72300170,70992960,107922760,10753780,22971650,50182340,81425160,76169350,47274030,68500910,99386030,1611660,364020,22708100,53078980,52742150,33425240,35360960,27369820,13655160,27855590,43770660,163469680,79582870,7392620,140018030,110166580,5477360,106864590,72996020,112890640,41782420,91654040,511840,34358930,96640260,50181610,58536050,847430
102521160,411118830,338928200,233870410,165720220,96064030,4338210,80503410,116418780,50500170,15143450,86226750,70992960,108698800,10753780,58078200,53078980,105890290,81839170,47274030,130625080,116475560,26195090,364020,68480610,83840670,72060340,33425240,35360960,51335810,51400100,27855590,43770660,178093940,81256220,38808510,148559190,131923380,69305880,109315450,123005230,112890640,118924660,104247240,511840,34358930,96640260,50181610,104252340,847430
102521160,411118830,338928200,292318960,165720220,96064030,4338210,80503410,116418780,50500170,160505400,86226750,137532910,108698800,33366340,147254630,53078980,126956090,180287380,61906940,156586080,116475560,82593910,111989610,74775760,102655430,111244900,86659910,59298130,76325290,62846510,27855590,76614640,180801550,149894080,38808510,194541600,152424450,174144420,109315450,123647920,112890640,132641560,123426980,79129040,51171500,96640260,50181610,107710850,3108650
115604410,456123090,350873100,341248420,229727910,128338910,11565020,80503410,174147680,70440860,231859230,110665140,194287120,108698800,43491070,147254630,54429220,219865020,290722890,79044060,156586080,129803000,82593910,179946620,74775760,102655430,160847300,123074110,59298130,76325290,150340940,27855590,80107700,187000810,242597450,128146480,222403880,214542880,174144420,112728500,158607330,211248680,158566490,123426980,79129040,65101170,96640260,50181610,135487260,47385300
170785010,490289090,350873100,400178090,350712810,128338910,37144220,176277280,204811050,119188120,252756630,110665140,194287120,116241670,51663880,202045080,54429220,254944190,290722890,79044060,157353510,136797770,102193390,182256120,103058500,135448180,238011170,123074110,93283870,141429720,228947330,44854930,80107700,210617700,346530820,166818920,244113760,229625120,174144420,192791830,206435440,211248680,247108210,123426980,79129040,65101170,96640260,152701320,198363720,111147440
309839780,496684270,373210930,400178090,407846550,242871110,61832490,193338150,241097890,147953500,269476330,178993560,194287120,175035760,66408840,259240920,96151160,254944190,373583960,79044060,217419920,136797770,113406080,197784820,124484200,135448180,238011170,140117470,111919750,141429720,287962150,44854930,80107700,210617700,364014140,189166420,284674490,258432190,261297720,192791830,240587090,211248680,283228870,123426980,148590560,72709030,105272340,166849580,198363720,128737540
324564090,496684270,450391970,400178090,484086270,245181900,188314620,246667260,281168340,257381890,373660540,243827900,211598770,175035760,112257920,323344940,133304630,256409850,373583960,183352480,262610390,136797770,125761960,214857030,152849900,143417370,259002690,179968480,111919750,158275440,314909820,48256410,117105380,210617700,390758420,202077000,284674490,264476360,276268180,230900270,248874360,211918020,293251520,188478740,159762170,95163250,105272340,192479560,198363720,153424790
324564090,620126370,482272500,400178090,484086270,271460910,209272830,272212550,300350570,291646300,373660540,243827900,211598770,203740830,184404250,352069790,134399530,343458570,388323620,201002430,262610390,156899310,169660670,214857030,155194720,195581700,305021890,179968480,133196150,163425270,331051600,48256410,171396680,217524510,476306920,202077000,284674490,280085870,372033300,260647900,248874360,217217880,342265380,189751770,202678510,188612400,128691600,251425150,238494550,153424790
